filename,relpath,speaker,gender,emotion,sentence_id
fcim_h001.wav,Female/fcim/fcim_h001.wav,fcim,female,happiness,1
fcim_h002.wav,Female/fcim/fcim_h002.wav,fcim,female,happiness,2
fcim_h003.wav,Female/fcim/fcim_h003.wav,fcim,female,happiness,3
fcim_h004.wav,Female/fcim/fcim_h004.wav,fcim,female,happiness,4
fcim_h005.wav,Female/fcim/fcim_h005.wav,fcim,female,happiness,5
fcim_h006.wav,Female/fcim/fcim_h006.wav,fcim,female,happiness,6
fcim_h007.wav,Female/fcim/fcim_h007.wav,fcim,female,happiness,7
fcim_h008.wav,Female/fcim/fcim_h008.wav,fcim,female,happiness,8
fcim_h009.wav,Female/fcim/fcim_h009.wav,fcim,female,happiness,9
fcim_h010.wav,Female/fcim/fcim_h010.wav,fcim,female,happiness,10
fcim_h011.wav,Female/fcim/fcim_h011.wav,fcim,female,happiness,11
fcim_h012.wav,Female/fcim/fcim_h012.wav,fcim,female,happiness,12
fcim_h013.wav,Female/fcim/fcim_h013.wav,fcim,female,happiness,13
fcim_h014.wav,Female/fcim/fcim_h014.wav,fcim,female,happiness,14
fcim_h015.wav,Female/fcim/fcim_h015.wav,fcim,female,happiness,15
fcim_h016.wav,Female/fcim/fcim_h016.wav,fcim,female,happiness,16
fcim_h017.wav,Female/fcim/fcim_h017.wav,fcim,female,happiness,17
fcim_h018.wav,Female/fcim/fcim_h018.wav,fcim,female,happiness,18
fcim_h019.wav,Female/fcim/fcim_h019.wav,fcim,female,happiness,19
fcim_h020.wav,Female/fcim/fcim_h020.wav,fcim,female,happiness,20
fcim_h021.wav,Female/fcim/fcim_h021.wav,fcim,female,happiness,21
fcim_h022.wav,Female/fcim/fcim_h022.wav,fcim,female,happiness,22
fcim_h023.wav,Female/fcim/fcim_h023.wav,fcim,female,happiness,23
fcim_h024.wav,Female/fcim/fcim_h024.wav,fcim,female,happiness,24
fcim_h025.wav,Female/fcim/fcim_h025.wav,fcim,female,happiness,25
fcim_h026.wav,Female/fcim/fcim_h026.wav,fcim,female,happiness,26
fcim_h027.wav,Female/fcim/fcim_h027.wav,fcim,female,happiness,27
fcim_h028.wav,Female/fcim/fcim_h028.wav,fcim,female,happiness,28
fcim_h029.wav,Female/fcim/fcim_h029.wav,fcim,female,happiness,29
fcim_h030.wav,Female/fcim/fcim_h030.wav,fcim,female,happiness,30
fcim_h031.wav,Female/fcim/fcim_h031.wav,fcim,female,happiness,31
fcim_h032.wav,Female/fcim/fcim_h032.wav,fcim,female,happiness,32
fcim_h033.wav,Female/fcim/fcim_h033.wav,fcim,female,happiness,33
fcim_h034.wav,Female/fcim/fcim_h034.wav,fcim,female,happiness,34
fcim_h035.wav,Female/fcim/fcim_h035.wav,fcim,female,happiness,35
fcim_h036.wav,Female/fcim/fcim_h036.wav,fcim,female,happiness,36
fcim_h037.wav,Female/fcim/fcim_h037.wav,fcim,female,happiness,37
fcim_h038.wav,Female/fcim/fcim_h038.wav,fcim,female,happiness,38
fcim_h039.wav,Female/fcim/fcim_h039.wav,fcim,female,happiness,39
fcim_h040.wav,Female/fcim/fcim_h040.wav,fcim,female,happiness,40
fcim_h041.wav,Female/fcim/fcim_h041.wav,fcim,female,happiness,41
fcim_h042.wav,Female/fcim/fcim_h042.wav,fcim,female,happiness,42
fcim_h043.wav,Female/fcim/fcim_h043.wav,fcim,female,happiness,43
fcim_h044.wav,Female/fcim/fcim_h044.wav,fcim,female,happiness,44
fcim_h045.wav,Female/fcim/fcim_h045.wav,fcim,female,happiness,45
fcim_h046.wav,Female/fcim/fcim_h046.wav,fcim,female,happiness,46
fcim_h047.wav,Female/fcim/fcim_h047.wav,fcim,female,happiness,47
fcim_h048.wav,Female/fcim/fcim_h048.wav,fcim,female,happiness,48
fcim_h049.wav,Female/fcim/fcim_h049.wav,fcim,female,happiness,49
fcim_h050.wav,Female/fcim/fcim_h050.wav,fcim,female,happiness,50
fcim_h051.wav,Female/fcim/fcim_h051.wav,fcim,female,happiness,51
fcim_h052.wav,Female/fcim/fcim_h052.wav,fcim,female,happiness,52
fcim_h053.wav,Female/fcim/fcim_h053.wav,fcim,female,happiness,53
fcim_h054.wav,Female/fcim/fcim_h054.wav,fcim,female,happiness,54
fcim_h055.wav,Female/fcim/fcim_h055.wav,fcim,female,happiness,55
fcim_h056.wav,Female/fcim/fcim_h056.wav,fcim,female,happiness,56
fcim_h057.wav,Female/fcim/fcim_h057.wav,fcim,female,happiness,57
fcim_h058.wav,Female/fcim/fcim_h058.wav,fcim,female,happiness,58
fcim_h059.wav,Female/fcim/fcim_h059.wav,fcim,female,happiness,59
fcim_h060.wav,Female/fcim/fcim_h060.wav,fcim,female,happiness,60
fcim_h061.wav,Female/fcim/fcim_h061.wav,fcim,female,happiness,61
fcim_h062.wav,Female/fcim/fcim_h062.wav,fcim,female,happiness,62
fcim_h063.wav,Female/fcim/fcim_h063.wav,fcim,female,happiness,63
fcim_h064.wav,Female/fcim/fcim_h064.wav,fcim,female,happiness,64
fcim_h065.wav,Female/fcim/fcim_h065.wav,fcim,female,happiness,65
fcim_h066.wav,Female/fcim/fcim_h066.wav,fcim,female,happiness,66
fcim_h067.wav,Female/fcim/fcim_h067.wav,fcim,female,happiness,67
fcim_h068.wav,Female/fcim/fcim_h068.wav,fcim,female,happiness,68
fcim_h069.wav,Female/fcim/fcim_h069.wav,fcim,female,happiness,69
fcim_h070.wav,Female/fcim/fcim_h070.wav,fcim,female,happiness,70
fcim_h071.wav,Female/fcim/fcim_h071.wav,fcim,female,happiness,71
fcim_h072.wav,Female/fcim/fcim_h072.wav,fcim,female,happiness,72
fcim_h073.wav,Female/fcim/fcim_h073.wav,fcim,female,happiness,73
fcim_h074.wav,Female/fcim/fcim_h074.wav,fcim,female,happiness,74
fcim_h075.wav,Female/fcim/fcim_h075.wav,fcim,female,happiness,75
fcim_h076.wav,Female/fcim/fcim_h076.wav,fcim,female,happiness,76
fcim_h077.wav,Female/fcim/fcim_h077.wav,fcim,female,happiness,77
fcim_h078.wav,Female/fcim/fcim_h078.wav,fcim,female,happiness,78
fcim_h079.wav,Female/fcim/fcim_h079.wav,fcim,female,happiness,79
fcim_h080.wav,Female/fcim/fcim_h080.wav,fcim,female,happiness,80
fcim_h081.wav,Female/fcim/fcim_h081.wav,fcim,female,happiness,81
